state,year,target_beni_core_score,beni_rank_within_year,priority_band_within_year,pupil_teacher_ratio,pupil_classroom_ratio,unqualified_teacher_share,bad_classroom_share,enrolment_per_school,pupil_teacher_ratio_norm,pupil_classroom_ratio_norm,unqualified_teacher_share_norm,bad_classroom_share_norm,enrolment_per_school_norm,matching_grant_million_naira,core_indicator_completeness,split_group,model_ready_flag,source_note,processed_source_file,processed_source_sheet,processed_dataset_name,processed_status
Edo,2020,0.20760598461101504,27,Lower Need,45.9990990089098,37.63185913185913,0.04845329862849134,0.4084357084357084,213.71395348837208,0.2916665273671331,0.17835858740478228,0.0,0.47679482131870676,0.09120998696445302,715.07413514,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Edo,2022,0.23201160417018887,26,Lower Need,35.16823438704703,41.3912885662432,0.15528141865844255,0.350453720508167,346.6048632218845,0.202938334475665,0.21245492676685512,0.22715969363699404,0.3161394694457125,0.20136559652571756,0.0,1,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Ekiti,2018,0.2045617401306989,35,Lower Need,20.289532941091014,29.084339858392337,0.1122248855959904,0.47542690545606,155.44017807456873,0.08104960832479753,0.10083642002840999,0.13560412889621667,0.6624127125705084,0.04290583083356193,1473.8328452,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Ekiti,2019,0.184650205603724,35,Lower Need,24.304646710755307,29.08256976259892,0.049947789766794294,0.47542690545606,155.43071786310517,0.11394206903535269,0.10082036605321797,0.003177891261448012,0.6624127125705084,0.04289798909809306,1519.88407886,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Ekiti,2020,0.18703872155219722,32,Lower Need,25.736031002162942,29.638505448884278,0.04848594087959625,0.473897249610794,158.47225305216426,0.1256682004148797,0.10586245346406414,6.941059861891789e-05,0.6581743722367328,0.045419171046690625,715.07413514,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Ekiti,2022,0.16138707170275832,37,Lower Need,18.00805112881806,24.84665597801191,0.09063745019920319,0.42304168575355017,194.4094982078853,0.06235934070672485,0.06240252727513121,0.08970052964006842,0.5172647760291116,0.07520818486275564,1204.45235376,1,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Enugu,2018,0.2546900031589669,29,Lower Need,16.99677610015582,24.310405779280664,0.26081349739401427,0.4878573624346757,119.8662372110648,0.0540748122833573,0.0575389784100585,0.45156348046509176,0.6968547783088761,0.013417966327450834,1473.83284521,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Enugu,2019,0.18026885653813518,36,Lower Need,20.333397374319564,24.079023206431064,0.08267691322446366,0.4814196875473988,119.00524737631184,0.0814089528488461,0.05544044221884998,0.07277321555964837,0.6790173953348415,0.012704276728489899,1519.88407886,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Enugu,2020,0.18375922485096655,35,Lower Need,21.034688066269737,24.694423339917947,0.0832254724307533,0.4822975231727701,122.0533233195644,0.08715403950266158,0.061021845503859765,0.07393967380311059,0.6814496850220615,0.015230880423139293,715.07413514,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Enugu,2022,0.2466415230998113,24,Medium Need,17.92773995168021,17.966213613602598,0.11624203821656051,0.5735981951246355,215.79643093192334,0.06170141856798404,0.0,0.14414621648819062,0.9344237913427674,0.09293618910011439,1204.45235376,1,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
FCT,2018,0.21514487644267927,32,Lower Need,18.581970330924307,51.36233407806545,0.18871243818942562,0.31305033512945196,338.95576756287943,0.06706097953672274,0.302887838861524,0.2982475322369929,0.21250290481519263,0.19502512676296418,1473.8328452,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
